Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725","$423,315,812",60.3%,"$642,863,913"
2,The Da Vinci Code,"$760,006,945","$217,536,138",71.4%,"$542,470,807"
3,Ice Age: The Meltdown,"$660,998,756","$195,330,621",70.4%,"$465,668,135"
4,Casino Royale,"$605,999,592","$167,445,960",72.4%,"$438,553,632"
5,Night at the Museum,"$574,480,841","$250,863,268",56.3%,"$323,617,573"
6,Cars,"$461,983,149","$244,082,982",47.2%,"$217,900,167"
7,X-Men: The Last Stand,"$460,435,291","$234,362,462",49.1%,"$226,072,829"
8,Mission: Impossible III,"$398,479,497","$134,029,801",66.4%,"$264,449,696"
9,Superman Returns,"$391,081,192","$200,081,192",48.8%,"$191,000,000"
10,Happy Feet,"$384,335,608","$198,000,317",48.5%,"$186,335,291"
11,Over the Hedge,"$339,795,890","$155,019,340",54.4%,"$184,776,550"
12,The Devil Wears Prada,"$326,705,902","$124,740,460",61.8%,"$201,965,442"
13,The Pursuit of Happyness,"$307,127,625","$163,566,459",46.7%,"$143,561,166"
14,The Departed,"$291,465,034","$132,384,315",54.6%,"$159,080,719"
15,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$262,552,893","$128,505,958",51.1%,"$134,046,935"
16,Eragon,"$250,425,512","$75,030,163",70%,"$175,395,349"
17,Click,"$240,685,326","$137,355,633",42.9%,"$103,329,693"
18,The Holiday,"$205,841,885","$63,224,849",69.3%,"$142,617,036"
19,The Break-Up,"$205,668,210","$118,703,275",42.3%,"$86,964,935"
20,Open Season,"$200,811,689","$85,105,259",57.6%,"$115,706,430"
21,Inside Man,"$186,003,591","$88,513,495",52.4%,"$97,490,096"
22,Poseidon,"$181,674,817","$60,674,817",66.6%,"$121,000,000"
23,Deja Vu,"$180,557,550","$64,038,616",64.5%,"$116,518,934"
24,Flushed Away,"$178,281,554","$64,665,672",63.7%,"$113,615,882"
25,Scary Movie 4,"$178,262,620","$90,710,620",49.1%,"$87,552,000"
26,Blood Diamond,"$171,720,398","$57,377,916",66.6%,"$114,342,482"
27,Saw III,"$164,874,275","$80,238,724",51.3%,"$84,635,551"
28,The Pink Panther,"$164,115,897","$82,226,474",49.9%,"$81,889,423"
29,Miami Vice,"$163,794,509","$63,450,470",61.3%,"$100,344,039"
30,Talladega Nights: The Ballad of Ricky Bobby,"$163,362,095","$148,213,377",9.3%,"$15,148,718"
31,World Trade Center,"$163,247,198","$70,278,893",56.9%,"$92,968,305"
32,The Fast and the Furious: Tokyo Drift,"$158,964,610","$62,514,415",60.7%,"$96,450,195"
33,Rocky Balboa,"$155,929,020","$70,270,943",54.9%,"$85,658,077"
34,Dreamgirls,"$155,430,335","$103,365,956",33.5%,"$52,064,379"
35,Charlotte's Web,"$148,963,822","$82,985,708",44.3%,"$65,978,114"
36,Garfield: A Tail of Two Kitties,"$143,325,970","$28,426,747",80.2%,"$114,899,223"
37,Monster House,"$141,861,243","$73,661,010",48.1%,"$68,200,233"
38,Big Momma's House 2,"$141,522,961","$70,165,972",50.4%,"$71,356,989"
39,Babel,"$135,330,182","$34,302,837",74.7%,"$101,027,345"
40,Perfume: The Story of a Murderer,"$135,039,924","$2,223,293",98.4%,"$132,816,631"
41,V for Vendetta,"$132,511,035","$70,511,035",46.8%,"$62,000,000"
42,"You, Me and Dupree","$130,628,903","$75,628,110",42.1%,"$55,000,793"
43,Failure to Launch,"$130,224,158","$88,715,192",31.9%,"$41,508,966"
44,The Queen,"$123,384,128","$56,441,711",54.3%,"$66,942,417"
45,Apocalypto,"$120,673,227","$50,866,635",57.8%,"$69,806,592"
46,Eight Below,"$120,455,994","$81,612,565",32.2%,"$38,843,429"
47,The Omen,"$119,974,972","$54,607,383",54.5%,"$65,367,589"
48,Final Destination 3,"$118,890,272","$54,098,051",54.5%,"$64,792,221"
49,Barnyard,"$116,755,080","$72,637,803",37.8%,"$44,117,277"
