Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Avatar,"$2,743,577,587","$749,766,139",72.7%,"$1,993,811,448"
2,Harry Potter and the Half-Blood Prince,"$933,959,197","$301,959,197",67.7%,"$632,000,000"
3,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",77.8%,"$690,113,112"
4,Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",51.9%,"$434,191,823"
5,2012,"$769,679,473","$166,112,167",78.4%,"$603,567,306"
6,Up,"$735,099,082","$293,004,164",60.1%,"$442,094,918"
7,The Twilight Saga: New Moon,"$709,827,462","$296,623,634",58.2%,"$413,203,828"
8,Sherlock Holmes,"$524,028,679","$209,028,679",60.1%,"$315,000,000"
9,Angels & Demons,"$485,930,816","$133,375,846",72.6%,"$352,554,970"
10,The Hangover,"$468,812,793","$277,322,503",40.8%,"$191,490,290"
11,Alvin and the Chipmunks: The Squeakquel,"$443,140,005","$219,614,612",50.4%,"$223,525,393"
12,Night at the Museum: Battle of the Smithsonian,"$413,106,170","$177,243,721",57.1%,"$235,862,449"
13,Star Trek,"$385,680,446","$257,730,019",33.2%,"$127,950,427"
14,Monsters vs. Aliens,"$381,509,870","$198,351,526",48%,"$183,158,344"
15,X-Men Origins: Wolverine,"$373,062,864","$179,883,157",51.8%,"$193,179,707"
16,Terminator Salvation,"$371,353,001","$125,322,469",66.3%,"$246,030,532"
17,Fast & Furious,"$360,364,265","$155,064,265",57%,"$205,300,000"
18,Prince of Persia: The Sands of Time,"$336,365,676","$90,759,676",73%,"$245,606,000"
19,A Christmas Carol,"$325,286,646","$137,855,863",57.6%,"$187,430,783"
20,Inglourious Basterds,"$321,455,689","$120,540,719",62.5%,"$200,914,970"
21,The Proposal,"$317,375,031","$163,958,031",48.3%,"$153,417,000"
22,The Blind Side,"$309,208,309","$255,959,475",17.2%,"$53,248,834"
23,G.I. Joe: The Rise of Cobra,"$302,469,017","$150,201,498",50.3%,"$152,267,519"
24,G-Force,"$292,817,841","$119,436,770",59.2%,"$173,381,071"
25,The Princess and the Frog,"$267,045,765","$104,400,899",60.9%,"$162,644,866"
26,This Is It,"$261,183,588","$72,091,016",72.4%,"$189,092,572"
27,Cloudy with a Chance of Meatballs,"$243,006,126","$124,870,275",48.6%,"$118,135,851"
28,It's Complicated,"$219,103,655","$112,735,375",48.5%,"$106,368,280"
29,Public Enemies,"$214,104,620","$97,104,620",54.6%,"$117,000,000"
30,District 9,"$210,888,950","$115,646,235",45.2%,"$95,242,715"
31,The Ugly Truth,"$205,298,907","$88,915,214",56.7%,"$116,383,693"
32,Paranormal Activity,"$193,355,800","$107,918,810",44.2%,"$85,436,990"
33,The Final Destination,"$186,167,139","$66,477,700",64.3%,"$119,689,439"
34,Watchmen,"$185,382,813","$107,509,799",42%,"$77,873,014"
35,Paul Blart: Mall Cop,"$183,348,429","$146,336,178",20.2%,"$37,012,251"
36,He's Just Not That Into You,"$178,866,158","$93,953,653",47.5%,"$84,912,505"
37,Couples Retreat,"$171,844,840","$109,204,945",36.5%,"$62,639,895"
38,Up in the Air,"$166,842,739","$83,823,381",49.8%,"$83,019,358"
